team_id,map_name,side,win_type,count,percentage
48457,fracture,attacker,opponentEliminated,6,37.5
48457,fracture,defender,opponentEliminated,4,25.0
48457,fracture,attacker,bombExploded,2,12.5
48457,fracture,defender,bombDefused,4,25.0
53367,lotus,attacker,opponentEliminated,8,50.0
53367,lotus,defender,bombDefused,4,25.0
53367,lotus,attacker,bombExploded,2,12.5
53367,lotus,defender,opponentEliminated,2,12.5
53367,pearl,attacker,bombExploded,1,20.0
53367,pearl,attacker,opponentEliminated,3,60.0
53367,pearl,defender,bombDefused,1,20.0
79,icebox,attacker,bombExploded,10,14.1
79,icebox,defender,opponentEliminated,13,18.3
79,icebox,attacker,opponentEliminated,27,38.0
79,icebox,defender,bombDefused,19,26.8
79,icebox,defender,timeExpired,2,2.8
81,lotus,defender,bombDefused,31,29.2
81,lotus,attacker,bombExploded,8,7.5
81,lotus,defender,timeExpired,2,1.9
81,lotus,defender,opponentEliminated,24,22.6
81,lotus,attacker,opponentEliminated,41,38.7
81,pearl,defender,opponentEliminated,4,9.1
81,pearl,defender,timeExpired,1,2.3
81,pearl,attacker,bombExploded,6,13.6
81,pearl,defender,bombDefused,14,31.8
81,pearl,attacker,opponentEliminated,19,43.2
96,haven,defender,opponentEliminated,31,26.1
96,haven,defender,timeExpired,2,1.7
96,haven,attacker,opponentEliminated,39,32.8
96,haven,defender,bombDefused,30,25.2
96,haven,attacker,bombExploded,17,14.3
99,ascent,defender,opponentEliminated,10,31.3
99,ascent,attacker,opponentEliminated,14,43.8
99,ascent,defender,bombDefused,3,9.4
99,ascent,attacker,bombExploded,5,15.6
1079,abyss,defender,bombDefused,7,21.2
1079,abyss,attacker,bombExploded,8,24.2
1079,abyss,defender,opponentEliminated,5,15.2
1079,abyss,attacker,opponentEliminated,13,39.4
281,icebox,attacker,opponentEliminated,23,46.9
281,icebox,attacker,bombExploded,7,14.3
281,icebox,defender,opponentEliminated,9,18.4
281,icebox,defender,bombDefused,9,18.4
281,icebox,defender,timeExpired,1,2.0
337,split,defender,bombDefused,17,16.5
337,split,attacker,opponentEliminated,28,27.2
337,split,attacker,bombExploded,9,8.7
337,split,defender,opponentEliminated,42,40.8
337,split,defender,timeExpired,7,6.8
48457,ascent,attacker,bombExploded,12,16.0
48457,ascent,defender,bombDefused,18,24.0
48457,ascent,defender,opponentEliminated,21,28.0
48457,ascent,attacker,opponentEliminated,22,29.3
48457,ascent,defender,timeExpired,2,2.7
79,split,defender,opponentEliminated,13,29.5
79,split,attacker,bombExploded,4,9.1
